Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.131273,0.131273,0.124177,0.124177,0.045686,2480333
1962-01-03,0.124177,0.124177,0.121516,0.122846,0.045196,507341
1962-01-04,0.122846,0.126838,0.117968,0.120185,0.044217,845568
1962-01-05,0.119742,0.119742,0.117525,0.117525,0.043238,338227
1962-01-08,0.117525,0.119299,0.115307,0.119299,0.043891,873754
1962-01-09,0.119299,0.124177,0.117968,0.121072,0.044543,930125
1962-01-10,0.121072,0.121959,0.119299,0.121959,0.044870,450970
1962-01-11,0.121959,0.122403,0.120629,0.121516,0.044707,422784
1962-01-12,0.121516,0.123290,0.120629,0.120629,0.044380,535526
1962-01-15,0.120629,0.121072,0.118855,0.118855,0.043728,310042
1962-01-16,0.118855,0.118855,0.117081,0.117525,0.043238,197299
1962-01-17,0.117525,0.119299,0.117081,0.117081,0.043075,422784
1962-01-18,0.117081,0.117081,0.115751,0.116638,0.042912,479155
1962-01-19,0.117968,0.124177,0.117968,0.123290,0.045359,1409280
1962-01-22,0.123290,0.126394,0.122846,0.124177,0.045686,563712
1962-01-23,0.124177,0.127725,0.122403,0.122403,0.045033,817382
1962-01-24,0.121516,0.121516,0.118855,0.120629,0.044380,338227
1962-01-25,0.120629,0.122403,0.119742,0.120629,0.044380,817382
1962-01-26,0.120629,0.121516,0.120185,0.120629,0.044380,1381094
1962-01-29,0.119742,0.119742,0.117968,0.117968,0.043401,197299
1962-01-30,0.117968,0.119299,0.117525,0.119299,0.043891,197299
1962-01-31,0.121072,0.121072,0.118855,0.121072,0.044543,563712
1962-02-01,0.121072,0.122846,0.119299,0.119299,0.043891,535526
1962-02-02,0.119299,0.119299,0.118855,0.119299,0.043891,140928
1962-02-05,0.119299,0.121072,0.117968,0.117968,0.043401,676454
1962-02-06,0.117968,0.118412,0.117081,0.118412,0.043565,563712
1962-02-07,0.118412,0.118412,0.115751,0.115751,0.042586,535526
1962-02-08,0.115751,0.117081,0.115307,0.115307,0.042422,732826
1962-02-09,0.115751,0.116638,0.115751,0.116194,0.042749,366413
1962-02-12,0.116194,0.118412,0.115751,0.117081,0.043075,310042
1962-02-13,0.117081,0.117081,0.114420,0.114420,0.042096,197299
1962-02-14,0.114420,0.115751,0.113533,0.113533,0.041770,394598
1962-02-15,0.112646,0.112646,0.109985,0.111316,0.040954,817382
1962-02-16,0.111316,0.113090,0.110429,0.112646,0.041443,620083
1962-02-19,0.112646,0.113977,0.112646,0.113090,0.041607,591898
1962-02-20,0.113090,0.114420,0.113090,0.113977,0.041933,873754
1962-02-21,0.113977,0.116194,0.113533,0.115751,0.042586,56371
1962-02-23,0.115751,0.116638,0.114864,0.116194,0.042749,704640
1962-02-26,0.116194,0.118855,0.115307,0.117968,0.043401,845568
1962-02-27,0.117968,0.119299,0.117968,0.118855,0.043728,676454
1962-02-28,0.118855,0.119299,0.117968,0.117968,0.043401,450970
1962-03-01,0.117968,0.118855,0.117968,0.118855,0.043728,225485
1962-03-02,0.118855,0.118855,0.117968,0.118412,0.043565,845568
1962-03-05,0.118412,0.118855,0.116638,0.117081,0.043075,1155610
1962-03-06,0.117081,0.117081,0.116638,0.117081,0.043075,648269
1962-03-07,0.117081,0.117081,0.115307,0.116638,0.042912,1014682
1962-03-08,0.117525,0.119299,0.117525,0.119299,0.043891,479155
1962-03-09,0.119742,0.121516,0.119742,0.121516,0.044707,648269
1962-03-12,0.121516,0.123290,0.121072,0.121072,0.044543,366413
1962-03-13,0.121072,0.122403,0.121072,0.121072,0.044543,450970
1962-03-14,0.121072,0.121516,0.118855,0.118855,0.043728,535526
1962-03-15,0.118855,0.120629,0.117968,0.118412,0.043565,930125
1962-03-16,0.118855,0.120629,0.118855,0.120629,0.044380,648269
1962-03-19,0.120629,0.121516,0.120629,0.121516,0.044707,479155
1962-03-20,0.121072,0.121072,0.120629,0.120629,0.044380,338227
1962-03-21,0.120629,0.120629,0.120185,0.120629,0.044380,1296538
1962-03-22,0.121072,0.121072,0.121072,0.121072,0.044543,732826
1962-03-23,0.121072,0.125507,0.121072,0.123290,0.045359,2593075
1962-03-26,0.123290,0.123290,0.121072,0.121072,0.044543,450970
1962-03-27,0.120629,0.120629,0.117525,0.119742,0.044054,761011
1962-03-28,0.119742,0.121516,0.119742,0.121072,0.044543,648269
1962-03-29,0.121072,0.122403,0.121072,0.121072,0.044543,563712
1962-03-30,0.121072,0.121516,0.117525,0.119742,0.044054,1042867
1962-04-02,0.119742,0.119742,0.118855,0.119742,0.044054,817382
1962-04-03,0.119742,0.119742,0.114864,0.115307,0.042422,1127424
1962-04-04,0.114420,0.114420,0.109985,0.109985,0.040464,789197
1962-04-05,0.109985,0.111759,0.108655,0.111316,0.040954,901939
1962-04-06,0.111316,0.113533,0.109098,0.109985,0.040464,2987674
1962-04-09,0.109542,0.109542,0.107768,0.108655,0.039975,1155610
1962-04-10,0.109985,0.112646,0.109985,0.111759,0.041117,1719322
