System #  - core 
Load, Idle, Completed, Processed, Wait Unprocessed, Exe. Needed, Unprocessed Wait, Unprocessed Max. Wait
0.1, 3079816, 9999, 9999, 0, 0, 0, 99967
0.2, 2959790, 19999, 19999, 1, 6, 1, 1
0.3, 2839377, 29999, 29999, 1, 11, 1, 1
0.4, 2719548, 39999, 39999, 1, 17, 1, 1
0.5, 2600478, 49999, 49999, 1, 9, 1, 1
0.6, 2479648, 59999, 59999, 0, 0, 0, 99967
0.7, 2361084, 69999, 69999, 0, 0, 0, 99967
0.8, 2239102, 79999, 79999, 0, 0, 0, 99967
0.9, 2118716, 89999, 89999, 0, 0, 0, 99967
1, 2000559, 99998, 99998, 1, 15, 1, 1
1.1, 1878998, 109998, 109998, 1, 16, 1, 1
System #  - core 
Load, Idle, Completed, Processed, Wait Unprocessed, Exe. Needed, Unprocessed Wait, Unprocessed Max. Wait
2, 800673, 199998, 200004, 2, 22, 2, 1
2.1, 681629, 209997, 210056, 3, 34, 3, 1
2.2, 555830, 219997, 220634, 3, 33, 3, 1
2.3, 440966, 229997, 233254, 3, 17, 3, 1
2.4, 322344, 239997, 252003, 3, 34, 3, 1
2.5, 201192, 249997, 292924, 3, 40, 3, 1
2.6, 80134, 259988, 461775, 12, 173, 45, 9
2.7, 251, 266704, 163449627, 3296, 39987, 5912086, 3590
2.8, 224, 266870, 566058596, 13130, 157688, 92100232, 14046
2.9, 228, 266777, 881850643, 23223, 278290, 276781155, 23858
3, 196, 266597, 1114412967, 33403, 401042, 554415520, 33247
System #  - core 
Load, Idle, Completed, Processed, Wait Unprocessed, Exe. Needed, Unprocessed Wait, Unprocessed Max. Wait
2.6, 80938, 259995, 459998, 5, 65, 10, 4
2.61, 68492, 260997, 499578, 2, 15, 2, 1
2.62, 52871, 261997, 575226, 2, 34, 2, 1
2.63, 44120, 262994, 701007, 5, 62, 11, 4
2.64, 34368, 263976, 778431, 23, 297, 233, 23
2.65, 22211, 264990, 1242544, 9, 98, 28, 8
